Cluster	Symbol
1	Rpe65
1	P2ry1
1	Gdnf
1	Adora2a
1	Gng7
1	Gpr88
1	Pcp4
1	Pde10a
1	Gpr6
1	Ppp1r1b
1	Rxfp1
1	Drd2
1	Adra2b
1	Npsr1
1	Pde1c
1	Gnal
1	Pde1b
1	Drd1a
1	Rgs9
1	Six3
1	Pde7b
1	Adcy5
1	Syndig1l
1	Rasgrp2
1	Lrrc10b
1	Rem2
1	Slc35d3
1	Pcsk9
1	Chrdl1
1	Kcnj2
1	Itpr1
1	Opn3
1	Prkch
1	Arpp21
1	Arpp19
1	Rasd2
1	Ano3
1	Rspo2
1	Ankk1
1	Grm4
1	Htr1b
1	Htr1d
1	Foxp2
1	Penk
1	Mme
1	Pdyn
1	Foxp1
1	Tac1
1	Tcfl5
1	Grb7
1	Nt5e
1	Ido1
2	Epha8
2	Isl1
2	Ebf1
2	Six3
2	Pou3f4
2	Meis2
2	Dlx6
2	Satb2
2	Sema5b
2	Serpina9
2	Foxp2
2	Mme
2	Foxp1
2	Wnt2
2	Mafa
2	Ephb1
